Branch_id,Branch_name,Location,Contact,Email,room_id,start_date,end_date,is_current
25,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,0,2025-11-15,,1
26,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user26@example.com,137,2025-11-15,,1
27,Aswan View Branch,Aswan - High Dam District,unknown,user27@example.com,412,2025-11-15,,1
28,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,325,2025-11-15,,1
29,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
30,Aswan View Branch,Aswan - High Dam District,unknown,user30@example.com,0,2025-11-15,,1
31,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,145,2025-11-15,,1
32,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01077E+11,mansoura_guest88@gmail.com,0,2025-11-15,,1
33,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,349,2025-11-15,,1
34,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user34@example.com,0,2025-11-15,,1
35,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
36,Giza Pyramids Branch,Giza - Haram Street,unknown,user36@example.com,0,2025-11-15,,1
37,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
38,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user38@example.com,0,2025-11-15,,1
39,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user39@example.com,0,2025-11-15,,1
40,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
41,Giza Pyramids Branch,Giza - Haram Street,unknown,user41@example.com,307,2025-11-15,,1
42,Downtown Branch,Cairo - Tahrir Square,unknown,user42@example.com,352,2025-11-15,,1
43,Giza Pyramids Branch,Giza - Haram Street,2.01073E+11,unknown,0,2025-11-15,,1
44,Giza Pyramids Branch,Giza - Haram Street,2.01097E+11,unknown,210,2025-11-15,,1
45,Aswan View Branch,Aswan - High Dam District,unknown,unknown,264,2025-11-15,,1
46,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,103,2025-11-15,,1
47,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
48,Downtown Branch,Cairo - Tahrir Square,unknown,user48@example.com,101,2025-11-15,,1
49,Aswan View Branch,Aswan - High Dam District,unknown,user49@example.com,412,2025-11-15,,1
50,Downtown Branch,Cairo - Tahrir Square,2.01072E+11,user50@example.com,461,2025-11-15,,1
51,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
52,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user52@example.com,101,2025-11-15,,1
53,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01022E+11,user53@example.com,182,2025-11-15,,1
54,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,204,2025-11-15,,1
55,Aswan View Branch,Aswan - High Dam District,2.01096E+11,unknown,0,2025-11-15,,1
56,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user56@example.com,0,2025-11-15,,1
57,Luxor Nile Branch,Luxor - Nile Corniche,2.0103E+11,user57@example.com,0,2025-11-15,,1
58,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,user58@example.com,232,2025-11-15,,1
59,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,0,2025-11-15,,1
60,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,0,2025-11-15,,1
61,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,unknown,491,2025-11-15,,1
62,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user62@example.com,0,2025-11-15,,1
63,Downtown Branch,Cairo - Tahrir Square,2.01015E+11,user63@example.com,0,2025-11-15,,1
64,Giza Pyramids Branch,Giza - Haram Street,2.01074E+11,unknown,0,2025-11-15,,1
65,Giza Pyramids Branch,Giza - Haram Street,unknown,user65@example.com,0,2025-11-15,,1
66,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,157,2025-11-15,,1
67,Luxor Nile Branch,Luxor - Nile Corniche,2.01034E+11,unknown,103,2025-11-15,,1
68,Aswan View Branch,Aswan - High Dam District,unknown,user68@example.com,226,2025-11-15,,1
69,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
70,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,182,2025-11-15,,1
71,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user71@example.com,0,2025-11-15,,1
72,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,unknown,117,2025-11-15,,1
73,Downtown Branch,Cairo - Tahrir Square,unknown,unknown,390,2025-11-15,,1
74,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,204,2025-11-15,,1
75,Giza Pyramids Branch,Giza - Haram Street,unknown,user75@example.com,307,2025-11-15,,1
76,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,110,2025-11-15,,1
77,Alex Seaside Branch,Alexandria - Corniche,unknown,user77@example.com,0,2025-11-15,,1
78,Luxor Nile Branch,Luxor - Nile Corniche,unknown,luxorbooking@hotelchain.com,420,2025-11-15,,1
79,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,336,2025-11-15,,1
80,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user80@example.com,110,2025-11-15,,1
81,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user81@example.com,110,2025-11-15,,1
82,Giza Pyramids Branch,Giza - Haram Street,2.01059E+11,unknown,473,2025-11-15,,1
83,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,mansoura_guest88@gmail.com,110,2025-11-15,,1
84,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01093E+11,user84@example.com,155,2025-11-15,,1
85,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,237,2025-11-15,,1
86,Downtown Branch,Cairo - Tahrir Square,unknown,unknown,0,2025-11-15,,1
87,Luxor Nile Branch,Luxor - Nile Corniche,2.01097E+11,luxorbooking@hotelchain.com,0,2025-11-15,,1
88,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,216,2025-11-15,,1
89,Aswan View Branch,Aswan - High Dam District,2.01098E+11,unknown,0,2025-11-15,,1
90,Luxor Nile Branch,Luxor - Nile Corniche,unknown,user90@example.com,0,2025-11-15,,1
91,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,243,2025-11-15,,1
92,Downtown Branch,Cairo - Tahrir Square,unknown,user92@example.com,101,2025-11-15,,1
93,Downtown Branch,Cairo - Tahrir Square,unknown,user93@example.com,265,2025-11-15,,1
94,Giza Pyramids Branch,Giza - Haram Street,2.01072E+11,unknown,307,2025-11-15,,1
95,Aswan View Branch,Aswan - High Dam District,unknown,user95@example.com,284,2025-11-15,,1
96,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,182,2025-11-15,,1
97,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,user97@example.com,234,2025-11-15,,1
98,Luxor Nile Branch,Luxor - Nile Corniche,unknown,unknown,0,2025-11-15,,1
99,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,347,2025-11-15,,1
100,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,0,2025-11-15,,1
101,Giza Pyramids Branch,Giza - Haram Street,2.01057E+11,unknown,0,2025-11-15,,1
102,Aswan View Branch,Aswan - High Dam District,2.01043E+11,user102@example.com,357,2025-11-15,,1
103,Aswan View Branch,Aswan - High Dam District,2.01046E+11,unknown,0,2025-11-15,,1
104,Giza Pyramids Branch,Giza - Haram Street,2.01082E+11,unknown,307,2025-11-15,,1
105,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,mansoura_guest88@gmail.com,400,2025-11-15,,1
106,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,307,2025-11-15,,1
107,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,0,2025-11-15,,1
108,Aswan View Branch,Aswan - High Dam District,2.01032E+11,unknown,154,2025-11-15,,1
109,Alex Seaside Branch,Alexandria - Corniche,unknown,user109@example.com,0,2025-11-15,,1
110,Alex Seaside Branch,Alexandria - Corniche,unknown,user110@example.com,154,2025-11-15,,1
111,Luxor Nile Branch,Luxor - Nile Corniche,unknown,luxorbooking@hotelchain.com,0,2025-11-15,,1
112,Aswan View Branch,Aswan - High Dam District,unknown,user112@example.com,473,2025-11-15,,1
113,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,0,2025-11-15,,1
114,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
115,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user115@example.com,335,2025-11-15,,1
116,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,348,2025-11-15,,1
117,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,315,2025-11-15,,1
118,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
119,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
120,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
121,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01096E+11,mansoura_guest88@gmail.com,362,2025-11-15,,1
122,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,391,2025-11-15,,1
123,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
124,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,363,2025-11-15,,1
125,Alex Seaside Branch,Alexandria - Corniche,2.01034E+11,user125@example.com,378,2025-11-15,,1
126,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01021E+11,unknown,110,2025-11-15,,1
127,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
128,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
129,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,unknown,101,2025-11-15,,1
130,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01029E+11,unknown,0,2025-11-15,,1
131,Giza Pyramids Branch,Giza - Haram Street,2.01028E+11,unknown,137,2025-11-15,,1
132,Alex Seaside Branch,Alexandria - Corniche,unknown,user132@example.com,220,2025-11-15,,1
133,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
134,Giza Pyramids Branch,Giza - Haram Street,2.01054E+11,unknown,307,2025-11-15,,1
135,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,0,2025-11-15,,1
136,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,101,2025-11-15,,1
137,Luxor Nile Branch,Luxor - Nile Corniche,2.01043E+11,luxorbooking@hotelchain.com,0,2025-11-15,,1
138,Aswan View Branch,Aswan - High Dam District,2.0107E+11,user138@example.com,412,2025-11-15,,1
139,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
140,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01096E+11,user140@example.com,0,2025-11-15,,1
141,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
142,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,unknown,0,2025-11-15,,1
143,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,luxorbooking@hotelchain.com,0,2025-11-15,,1
144,Giza Pyramids Branch,Giza - Haram Street,2.01082E+11,unknown,0,2025-11-15,,1
145,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,unknown,265,2025-11-15,,1
146,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,374,2025-11-15,,1
147,Aswan View Branch,Aswan - High Dam District,unknown,user147@example.com,304,2025-11-15,,1
148,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0105E+11,mansoura_guest88@gmail.com,110,2025-11-15,,1
149,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,unknown,470,2025-11-15,,1
150,Aswan View Branch,Aswan - High Dam District,unknown,user150@example.com,412,2025-11-15,,1
151,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,453,2025-11-15,,1
152,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user152@example.com,110,2025-11-15,,1
153,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user153@example.com,161,2025-11-15,,1
154,Luxor Nile Branch,Luxor - Nile Corniche,unknown,luxorbooking@hotelchain.com,425,2025-11-15,,1
155,Alex Seaside Branch,Alexandria - Corniche,unknown,user155@example.com,225,2025-11-15,,1
156,Aswan View Branch,Aswan - High Dam District,2.01085E+11,unknown,0,2025-11-15,,1
157,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01054E+11,mansoura_guest88@gmail.com,110,2025-11-15,,1
158,Luxor Nile Branch,Luxor - Nile Corniche,unknown,user158@example.com,186,2025-11-15,,1
159,Giza Pyramids Branch,Giza - Haram Street,2.01037E+11,unknown,0,2025-11-15,,1
160,Aswan View Branch,Aswan - High Dam District,unknown,user160@example.com,412,2025-11-15,,1
161,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,101,2025-11-15,,1
162,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,101,2025-11-15,,1
163,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,354,2025-11-15,,1
164,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
165,Downtown Branch,Cairo - Tahrir Square,2.01087E+11,unknown,482,2025-11-15,,1
166,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
167,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0104E+11,user167@example.com,110,2025-11-15,,1
168,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,unknown,307,2025-11-15,,1
169,Giza Pyramids Branch,Giza - Haram Street,2.0108E+11,unknown,0,2025-11-15,,1
170,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,267,2025-11-15,,1
171,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,0,2025-11-15,,1
172,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,mansoura_guest88@gmail.com,110,2025-11-15,,1
173,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,137,2025-11-15,,1
174,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,442,2025-11-15,,1
175,Downtown Branch,Cairo - Tahrir Square,2.01058E+11,user175@example.com,0,2025-11-15,,1
176,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,418,2025-11-15,,1
177,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01048E+11,user177@example.com,0,2025-11-15,,1
178,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,294,2025-11-15,,1
179,Luxor Nile Branch,Luxor - Nile Corniche,unknown,user179@example.com,235,2025-11-15,,1
180,Downtown Branch,Cairo - Tahrir Square,2.01035E+11,contact_cairo@hotelchain.com,0,2025-11-15,,1
181,Giza Pyramids Branch,Giza - Haram Street,2.01073E+11,unknown,307,2025-11-15,,1
182,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,110,2025-11-15,,1
183,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,316,2025-11-15,,1
184,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,204,2025-11-15,,1
185,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
186,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
187,Aswan View Branch,Aswan - High Dam District,unknown,unknown,313,2025-11-15,,1
188,Aswan View Branch,Aswan - High Dam District,unknown,user188@example.com,0,2025-11-15,,1
189,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user189@example.com,0,2025-11-15,,1
190,Luxor Nile Branch,Luxor - Nile Corniche,2.01091E+11,unknown,0,2025-11-15,,1
191,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,281,2025-11-15,,1
192,Downtown Branch,Cairo - Tahrir Square,2.01017E+11,unknown,223,2025-11-15,,1
193,Downtown Branch,Cairo - Tahrir Square,unknown,unknown,0,2025-11-15,,1
194,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,0,2025-11-15,,1
195,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user195@example.com,0,2025-11-15,,1
196,Luxor Nile Branch,Luxor - Nile Corniche,2.01073E+11,user196@example.com,0,2025-11-15,,1
197,Giza Pyramids Branch,Giza - Haram Street,2.01098E+11,unknown,0,2025-11-15,,1
198,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,0,2025-11-15,,1
199,Alex Seaside Branch,Alexandria - Corniche,2.0104E+11,user199@example.com,0,2025-11-15,,1
200,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
201,Giza Pyramids Branch,Giza - Haram Street,unknown,user201@example.com,249,2025-11-15,,1
202,Downtown Branch,Cairo - Tahrir Square,unknown,user202@example.com,229,2025-11-15,,1
203,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,unknown,185,2025-11-15,,1
204,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user204@example.com,382,2025-11-15,,1
205,Downtown Branch,Cairo - Tahrir Square,2.01056E+11,contact_cairo@hotelchain.com,0,2025-11-15,,1
206,Giza Pyramids Branch,Giza - Haram Street,2.01054E+11,unknown,307,2025-11-15,,1
207,Giza Pyramids Branch,Giza - Haram Street,2.01099E+11,user207@example.com,0,2025-11-15,,1
208,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,0,2025-11-15,,1
209,Downtown Branch,Cairo - Tahrir Square,unknown,user209@example.com,0,2025-11-15,,1
210,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,mansoura_guest88@gmail.com,471,2025-11-15,,1
211,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
212,Luxor Nile Branch,Luxor - Nile Corniche,2.01027E+11,unknown,0,2025-11-15,,1
213,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
214,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
215,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user215@example.com,0,2025-11-15,,1
216,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user216@example.com,282,2025-11-15,,1
217,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
218,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,mansoura_guest88@gmail.com,110,2025-11-15,,1
219,Aswan View Branch,Aswan - High Dam District,unknown,unknown,0,2025-11-15,,1
220,Giza Pyramids Branch,Giza - Haram Street,2.01063E+11,user220@example.com,307,2025-11-15,,1
221,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
222,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,user222@example.com,102,2025-11-15,,1
223,Aswan View Branch,Aswan - High Dam District,2.0107E+11,unknown,0,2025-11-15,,1
224,Alex Seaside Branch,Alexandria - Corniche,2.0108E+11,alex_guest45@mail.com,204,2025-11-15,,1
225,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user225@example.com,459,2025-11-15,,1
226,Aswan View Branch,Aswan - High Dam District,unknown,unknown,433,2025-11-15,,1
227,Downtown Branch,Cairo - Tahrir Square,unknown,unknown,101,2025-11-15,,1
228,Alex Seaside Branch,Alexandria - Corniche,unknown,user228@example.com,204,2025-11-15,,1
229,Luxor Nile Branch,Luxor - Nile Corniche,2.01086E+11,unknown,323,2025-11-15,,1
230,Luxor Nile Branch,Luxor - Nile Corniche,2.01089E+11,luxorbooking@hotelchain.com,150,2025-11-15,,1
231,Alex Seaside Branch,Alexandria - Corniche,2.01034E+11,unknown,0,2025-11-15,,1
232,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,unknown,0,2025-11-15,,1
233,Downtown Branch,Cairo - Tahrir Square,2.01085E+11,contact_cairo@hotelchain.com,108,2025-11-15,,1
234,Luxor Nile Branch,Luxor - Nile Corniche,unknown,luxorbooking@hotelchain.com,0,2025-11-15,,1
235,Luxor Nile Branch,Luxor - Nile Corniche,2.01023E+11,luxorbooking@hotelchain.com,0,2025-11-15,,1
236,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.0107E+11,user236@example.com,0,2025-11-15,,1
237,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,246,2025-11-15,,1
238,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
239,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,204,2025-11-15,,1
240,Giza Pyramids Branch,Giza - Haram Street,unknown,user240@example.com,253,2025-11-15,,1
241,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,mansoura_guest88@gmail.com,0,2025-11-15,,1
242,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,204,2025-11-15,,1
243,Giza Pyramids Branch,Giza - Haram Street,unknown,user243@example.com,266,2025-11-15,,1
244,Aswan View Branch,Aswan - High Dam District,2.01088E+11,unknown,269,2025-11-15,,1
245,Aswan View Branch,Aswan - High Dam District,unknown,user245@example.com,412,2025-11-15,,1
246,Aswan View Branch,Aswan - High Dam District,2.01091E+11,user246@example.com,412,2025-11-15,,1
247,Alex Seaside Branch,Alexandria - Corniche,unknown,user247@example.com,0,2025-11-15,,1
248,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,466,2025-11-15,,1
249,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01021E+11,mansoura_guest88@gmail.com,325,2025-11-15,,1
250,Aswan View Branch,Aswan - High Dam District,unknown,unknown,412,2025-11-15,,1
251,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user251@example.com,0,2025-11-15,,1
252,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,204,2025-11-15,,1
253,Mansoura Center Branch,Mansoura - El Gomhouria St.,unknown,unknown,261,2025-11-15,,1
254,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,110,2025-11-15,,1
255,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,0,2025-11-15,,1
256,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,unknown,0,2025-11-15,,1
257,Luxor Nile Branch,Luxor - Nile Corniche,unknown,unknown,0,2025-11-15,,1
258,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,luxorbooking@hotelchain.com,0,2025-11-15,,1
259,Downtown Branch,Cairo - Tahrir Square,unknown,user259@example.com,433,2025-11-15,,1
260,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,0,2025-11-15,,1
261,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,user261@example.com,0,2025-11-15,,1
262,Aswan View Branch,Aswan - High Dam District,2.01039E+11,unknown,0,2025-11-15,,1
263,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,155,2025-11-15,,1
264,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,contact_cairo@hotelchain.com,119,2025-11-15,,1
265,Aswan View Branch,Aswan - High Dam District,2.01096E+11,unknown,412,2025-11-15,,1
266,Mansoura Center Branch,Mansoura - El Gomhouria St.,2.01078E+11,unknown,0,2025-11-15,,1
267,Alex Seaside Branch,Alexandria - Corniche,unknown,alex_guest45@mail.com,0,2025-11-15,,1
268,Aswan View Branch,Aswan - High Dam District,unknown,user268@example.com,171,2025-11-15,,1
269,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,307,2025-11-15,,1
270,Giza Pyramids Branch,Giza - Haram Street,2.01083E+11,unknown,307,2025-11-15,,1
271,Alex Seaside Branch,Alexandria - Corniche,unknown,unknown,0,2025-11-15,,1
272,Downtown Branch,Cairo - Tahrir Square,unknown,contact_cairo@hotelchain.com,310,2025-11-15,,1
273,Giza Pyramids Branch,Giza - Haram Street,unknown,unknown,0,2025-11-15,,1
274,Luxor Nile Branch,Luxor - Nile Corniche,2.01067E+11,user274@example.com,0,2025-11-15,,1
275,Alex Seaside Branch,Alexandria - Corniche,2.01054E+11,user275@example.com,0,2025-11-15,,1
276,Downtown Branch,Cairo - Tahrir Square,2.01022E+11,user276@example.com,176,2025-11-15,,1
277,Alex Seaside Branch,Alexandria - Corniche,2.01079E+11,user277@example.com,286,2025-11-15,,1
278,Downtown Branch,Cairo - Tahrir Square,unknown,unknown,0,2025-11-15,,1
279,Alex Seaside Branch,Alexandria - Corniche,unknown,user279@example.com,204,2025-11-15,,1
