booking_id,guest_id,room_id,check_in,check_out,payment,booking_date,Branch_id
33,1958,794,12/31/2024,1/1/2025,251.57,12/7/2024,5
34,1909,1709,9/8/2024,9/13/2024,1369.46,8/21/2024,6
35,350,1589,1/21/2025,1/27/2025,496.44,1/21/2025,6
36,535,918,5/28/2025,5/30/2025,435.09,,5
37,99,1645,11/18/2024,11/23/2024,1855.33,11/17/2024,6
38,731,1985,10/21/2024,10/31/2024,655.43,10/14/2024,1
39,1218,1221,1/11/2025,1/16/2025,1582.51,1/5/2025,4
40,247,1170,10/12/2024,10/24/2024,,9/14/2024,4
41,887,1076,6/21/2025,6/28/2025,1837.24,6/6/2025,5
42,427,1821,4/2/2025,4/16/2025,4123.54,3/7/2025,4
43,1409,637,5/12/2025,5/24/2025,3382.42,5/10/2025,6
44,172,661,7/29/2025,8/1/2025,865.91,7/25/2025,3
45,36,1198,9/1/2025,9/6/2025,544.5,8/20/2025,3
46,1998,432,1/21/2025,1/25/2025,296.8,1/20/2025,2
47,1235,271,5/1/2025,5/8/2025,2690.93,4/3/2025,4
48,44,597,4/19/2025,4/22/2025,560.44,,3
49,1160,1171,12/12/2024,12/24/2024,1541.36,12/9/2024,6
50,648,1158,1/4/2025,1/18/2025,2259.52,12/16/2024,3
51,498,1459,5/6/2025,5/20/2025,1375.9,4/9/2025,1
52,1176,828,6/8/2025,6/11/2025,455.58,5/24/2025,4
53,16,846,5/26/2025,6/6/2025,2418.42,5/19/2025,5
54,1211,608,12/14/2024,12/19/2024,1818.13,11/16/2024,1
55,440,912,6/6/2025,6/20/2025,2070.08,6/6/2025,2
56,421,366,5/3/2025,5/14/2025,2676.48,4/6/2025,6
57,927,71,8/17/2025,8/28/2025,2931.34,7/24/2025,5
58,482,1188,3/7/2025,3/20/2025,3403.06,2/6/2025,1
59,865,718,2/8/2025,2/16/2025,1900.35,2/7/2025,5
60,1539,988,5/5/2025,5/10/2025,631.39,4/24/2025,3
61,1298,1879,11/25/2024,12/2/2024,1730.04,11/13/2024,5
62,942,1962,6/27/2025,7/4/2025,1317.64,6/4/2025,2
63,1112,1532,9/19/2024,9/30/2024,445.25,9/8/2024,6
64,1728,1553,12/12/2024,12/25/2024,1914.53,11/15/2024,6
65,733,1047,1/2/2025,1/16/2025,3519.71,12/26/2024,4
66,245,1859,5/11/2025,5/19/2025,301.46,4/19/2025,2
67,1521,286,12/20/2024,12/31/2024,576.91,12/20/2024,6
68,1223,762,8/23/2025,8/26/2025,146.95,7/28/2025,6
69,29,1404,9/30/2024,10/3/2024,888.4,,1
70,983,1930,7/24/2025,7/25/2025,272.18,6/28/2025,3
71,1044,490,12/13/2024,12/19/2024,1546.88,,2
72,1719,1319,6/2/2025,6/8/2025,1208.71,6/1/2025,2
73,1134,394,7/31/2025,8/2/2025,470.26,7/12/2025,1
74,1776,243,2/1/2025,2/12/2025,440.58,,3
75,1467,1878,2/26/2025,3/7/2025,3095.66,1/30/2025,3
76,1883,876,5/24/2025,6/1/2025,2170.75,5/15/2025,2
77,1384,1382,10/7/2024,10/14/2024,1163.91,9/14/2024,3
78,944,554,4/27/2025,5/9/2025,796.98,4/21/2025,3
79,797,944,11/28/2024,12/3/2024,1922.15,11/25/2024,1
80,761,1863,7/27/2025,8/10/2025,5210.92,7/20/2025,6
81,895,1559,10/17/2024,10/21/2024,1390.32,10/7/2024,2
82,593,1434,7/23/2025,8/5/2025,1686.01,7/9/2025,3
83,120,1674,1/8/2025,1/9/2025,278.56,12/18/2024,4
84,1638,1026,7/2/2025,7/15/2025,368.27,6/24/2025,3
85,1160,710,6/14/2025,6/25/2025,1167.9,5/22/2025,4
86,1106,81,7/13/2025,7/18/2025,1280.28,6/29/2025,4
87,272,414,8/12/2025,8/15/2025,317.34,8/2/2025,6
88,478,1839,4/8/2025,4/13/2025,1209.75,3/9/2025,5
89,680,1327,2/11/2025,2/14/2025,903.85,1/17/2025,3
90,301,773,6/25/2025,7/4/2025,3192.11,6/22/2025,3
91,793,641,9/5/2025,9/7/2025,,8/13/2025,3
92,1427,1109,5/9/2025,5/11/2025,684.77,4/28/2025,2
93,113,1345,3/2/2025,3/12/2025,3876.95,2/11/2025,4
94,290,768,12/16/2024,12/30/2024,5566.59,11/20/2024,1
95,225,488,5/6/2025,5/19/2025,4441.22,5/6/2025,5
96,505,517,9/18/2024,9/28/2024,1492.28,9/18/2024,3
97,263,1234,8/4/2025,8/9/2025,1485.45,7/5/2025,4
98,834,250,8/1/2025,8/2/2025,253.47,7/9/2025,3
99,1449,699,2/9/2025,2/19/2025,,2/7/2025,3
100,177,1731,12/4/2024,12/5/2024,,11/14/2024,1
101,1814,791,6/16/2025,6/23/2025,1573.89,6/15/2025,3
102,1212,1350,10/18/2024,11/1/2024,4259.39,9/30/2024,4
103,978,602,11/24/2024,12/5/2024,4215.96,10/26/2024,3
104,1135,1217,3/20/2025,4/1/2025,3126.9,3/2/2025,3
105,1968,390,6/8/2025,6/15/2025,520.54,5/15/2025,1
106,595,1660,5/29/2025,6/8/2025,2581.89,5/7/2025,4
107,1864,1496,6/9/2025,6/23/2025,1165.54,5/12/2025,6
108,456,1903,12/29/2024,12/30/2024,124.78,12/4/2024,2
109,1282,1390,5/12/2025,5/15/2025,380.76,4/18/2025,3
110,76,268,3/9/2025,3/23/2025,1939.71,2/15/2025,4
111,1200,566,4/23/2025,5/6/2025,1747.31,3/27/2025,4
112,930,125,7/13/2025,7/26/2025,1520.34,6/26/2025,6
113,624,75,12/25/2024,12/30/2024,1149.79,12/17/2024,3
114,1374,1054,10/1/2024,10/7/2024,2772.01,9/1/2024,1
115,437,1758,3/27/2025,4/7/2025,1729.95,3/14/2025,5
116,683,1591,10/28/2024,11/6/2024,1171.79,10/27/2024,4
117,19,1832,7/23/2025,7/29/2025,1510.96,6/27/2025,5
118,696,1078,2/23/2025,3/5/2025,3742.16,2/19/2025,1
119,659,101,9/28/2024,10/1/2024,146.05,9/10/2024,2
120,1703,325,6/11/2025,6/20/2025,,6/2/2025,1
121,222,160,10/24/2024,11/4/2024,2564.24,,2
122,1340,338,7/16/2025,7/19/2025,287.75,7/11/2025,3
123,1280,1369,9/20/2025,9/21/2025,87.69,9/20/2025,5
124,1226,353,9/5/2024,9/14/2024,3014.12,8/28/2024,4
125,1435,1969,5/19/2025,6/1/2025,,5/18/2025,3
126,1341,976,11/4/2024,11/13/2024,2408.93,10/10/2024,6
127,380,1358,3/5/2025,3/12/2025,,2/12/2025,6
128,1580,1159,1/2/2025,1/11/2025,2556.12,12/15/2024,5
129,825,152,9/1/2025,9/6/2025,1055.83,8/9/2025,5
130,1642,1565,6/22/2025,6/26/2025,267.3,6/3/2025,5
131,1907,842,1/26/2025,1/31/2025,865.56,1/26/2025,2
132,219,538,7/10/2025,7/24/2025,,7/5/2025,1
133,689,1320,3/28/2025,4/8/2025,2912.43,3/6/2025,1
134,963,519,5/7/2025,5/19/2025,1794.42,4/20/2025,3
135,168,613,12/14/2024,12/24/2024,1867.6,11/24/2024,4
136,1174,1465,6/15/2025,6/24/2025,426.66,5/29/2025,5
137,1129,1475,8/9/2025,8/16/2025,866.3,7/11/2025,2
138,995,1464,7/30/2025,8/6/2025,1358.54,7/25/2025,1
139,1741,791,9/5/2024,9/17/2024,3790.37,8/13/2024,3
140,1345,800,8/29/2025,9/3/2025,1415.21,8/7/2025,4
141,844,138,5/14/2025,5/20/2025,916.3,4/14/2025,4
142,656,81,6/7/2025,6/8/2025,,6/4/2025,4
143,687,1776,9/5/2024,9/9/2024,841.38,8/12/2024,3
144,176,1692,11/15/2024,11/22/2024,675.62,11/13/2024,5
145,1741,1815,8/2/2025,8/13/2025,1910.67,7/22/2025,1
146,842,386,6/5/2025,6/18/2025,2303.72,5/20/2025,2
147,636,1597,2/23/2025,3/6/2025,439.18,1/24/2025,3
148,1720,30,9/10/2025,9/17/2025,2498.46,8/28/2025,4
149,1263,425,9/12/2025,9/14/2025,634.78,8/29/2025,5
150,586,367,9/25/2025,10/5/2025,1913.04,9/7/2025,1
151,133,524,8/12/2025,8/22/2025,1424.27,,2
152,42,619,8/8/2025,8/15/2025,2548.2,7/14/2025,3
153,1339,868,9/23/2025,10/7/2025,2703.15,8/26/2025,5
154,697,1947,3/5/2025,3/6/2025,159.79,2/18/2025,3
155,1877,550,4/16/2025,4/30/2025,3809.03,3/30/2025,2
156,55,1656,9/10/2024,9/17/2024,223.79,8/29/2024,6
157,931,1873,7/19/2025,7/26/2025,2198.83,7/2/2025,4
158,1059,1265,4/17/2025,4/28/2025,901.72,4/12/2025,5
159,1297,1403,3/27/2025,3/30/2025,147.44,3/10/2025,1
160,1538,918,2/25/2025,3/2/2025,1279.82,2/8/2025,5
161,3,1758,2/9/2025,2/12/2025,459.2,1/19/2025,5
162,1510,1337,9/10/2024,9/23/2024,1134.49,8/12/2024,5
163,1995,93,8/30/2025,9/8/2025,2590.68,8/16/2025,4
164,1339,995,7/7/2025,7/13/2025,1621.86,6/25/2025,5
165,435,1026,12/6/2024,12/20/2024,451.93,11/14/2024,3
166,1558,1679,8/5/2025,8/17/2025,833.35,8/5/2025,2
167,714,504,10/22/2024,10/28/2024,1416.22,9/24/2024,2
168,1050,1092,9/16/2025,9/27/2025,,9/14/2025,4
169,1530,988,10/11/2024,10/15/2024,491.77,9/23/2024,3
170,434,237,9/4/2024,9/12/2024,2059.26,8/18/2024,2
171,991,1925,4/21/2025,5/4/2025,2809.32,3/31/2025,2
172,25,443,8/16/2025,8/20/2025,198.95,8/16/2025,2
173,97,391,3/3/2025,3/17/2025,3020.48,2/10/2025,2
174,1811,30,7/2/2025,7/3/2025,321.62,6/20/2025,4
175,1244,1145,6/18/2025,6/24/2025,1969.97,5/26/2025,6
176,855,1829,4/25/2025,5/7/2025,817.13,3/30/2025,3
177,700,628,10/15/2024,10/17/2024,298.76,10/5/2024,2
178,438,1897,3/15/2025,3/20/2025,931.56,3/7/2025,5
179,665,1243,2/6/2025,2/11/2025,645.96,2/5/2025,3
180,405,1716,8/17/2025,8/29/2025,614.88,8/17/2025,3
181,660,86,11/29/2024,12/7/2024,1640.9,11/6/2024,4
182,23,1512,4/10/2025,4/14/2025,1085,3/17/2025,6
183,1395,1066,3/8/2025,3/18/2025,1997.61,2/25/2025,2
184,85,1323,9/30/2025,10/14/2025,2622.84,9/4/2025,6
185,1,915,9/12/2025,9/16/2025,1746.28,9/9/2025,4
186,952,1647,9/4/2024,9/9/2024,1726.34,8/20/2024,1
187,1335,654,10/28/2024,11/7/2024,1411.58,10/15/2024,1
188,892,1721,2/11/2025,2/12/2025,245.13,2/9/2025,6
189,908,240,11/3/2024,11/17/2024,3986.03,10/27/2024,1
190,1,1273,9/11/2025,9/19/2025,2302.89,8/16/2025,4
191,390,1237,6/28/2025,7/5/2025,1892.7,6/7/2025,3
192,1083,1859,6/29/2025,7/3/2025,122.74,6/28/2025,2
193,1357,332,3/9/2025,3/17/2025,1922.12,3/1/2025,2
194,821,88,11/15/2024,11/26/2024,4953.76,11/12/2024,1
195,228,155,9/12/2025,9/15/2025,1043.09,9/3/2025,5
196,908,1742,5/2/2025,5/9/2025,1145.86,4/18/2025,2
197,223,735,11/26/2024,11/28/2024,367.38,11/5/2024,5
198,976,1626,9/26/2025,10/1/2025,1431.68,8/27/2025,1
199,1638,139,2/24/2025,3/6/2025,985.83,2/7/2025,3
200,1028,140,8/18/2025,8/24/2025,1651.28,8/12/2025,6
201,736,445,8/7/2025,8/15/2025,2901.31,8/2/2025,1
202,835,1896,9/5/2024,9/15/2024,1640.05,8/31/2024,3
203,1028,21,6/6/2025,6/18/2025,,6/3/2025,2
204,1471,583,6/5/2025,6/15/2025,1081.11,5/21/2025,3
205,491,726,6/13/2025,6/24/2025,3298.32,6/11/2025,4
206,1921,1852,6/5/2025,6/16/2025,1727.62,6/4/2025,3
207,1669,1862,1/6/2025,1/15/2025,578.1,12/14/2024,5
208,525,409,1/26/2025,2/9/2025,3216.43,1/8/2025,4
209,696,1489,5/17/2025,5/28/2025,812.64,4/22/2025,1
210,339,960,10/15/2024,10/25/2024,1888.05,10/6/2024,3
211,925,411,2/8/2025,2/14/2025,2017.97,1/16/2025,3
212,1058,222,12/27/2024,1/10/2025,994.57,12/12/2024,3
213,397,967,6/10/2025,6/18/2025,,6/4/2025,3
214,1463,294,5/23/2025,5/25/2025,666.59,5/7/2025,2
215,1969,195,9/16/2025,9/23/2025,1301.72,9/11/2025,6
216,431,609,3/6/2025,3/12/2025,464.23,3/1/2025,5
217,446,322,8/29/2025,9/10/2025,1425.42,7/30/2025,4
218,779,489,11/21/2024,11/26/2024,303.12,11/7/2024,4
219,1216,1145,1/15/2025,1/23/2025,1758.81,1/8/2025,6
220,797,1696,4/14/2025,4/19/2025,1365.81,4/8/2025,4
221,1094,511,12/23/2024,1/4/2025,1386.89,12/20/2024,2
222,173,737,4/28/2025,5/12/2025,2472.1,4/19/2025,5
223,987,767,7/23/2025,8/1/2025,3177.61,7/19/2025,6
224,332,1257,7/5/2025,7/11/2025,501.56,6/15/2025,5
225,232,1203,11/13/2024,11/26/2024,2396.97,10/17/2024,4
226,1717,312,12/27/2024,1/3/2025,2051.37,12/1/2024,4
227,1698,1718,1/16/2025,1/25/2025,3126.53,1/13/2025,6
228,1606,924,5/16/2025,5/19/2025,830.15,5/15/2025,4
229,379,292,12/25/2024,12/29/2024,1605.43,12/23/2024,4
230,1578,1329,6/20/2025,6/29/2025,2677.38,6/14/2025,3
231,93,784,10/29/2024,11/10/2024,4421.05,10/3/2024,6
232,1533,447,11/5/2024,11/11/2024,823.72,10/22/2024,5
233,1221,1049,1/27/2025,2/5/2025,1024.52,1/23/2025,1
234,1800,856,11/8/2024,11/11/2024,530.82,11/2/2024,3
235,1481,1052,9/8/2024,9/18/2024,2440.94,9/7/2024,4
236,1765,57,2/9/2025,2/13/2025,286.05,2/4/2025,6
237,958,76,4/7/2025,4/16/2025,3015.23,3/27/2025,2
238,1397,1992,3/9/2025,3/10/2025,323.87,3/1/2025,2
239,184,1911,7/13/2025,7/15/2025,474.57,7/4/2025,4
240,1794,1420,1/3/2025,1/8/2025,1528.73,12/20/2024,1
241,453,1904,1/14/2025,1/27/2025,4146.57,12/22/2024,6
242,434,1554,2/18/2025,2/20/2025,336.67,1/22/2025,3
243,25,1242,9/13/2025,9/19/2025,421.25,9/2/2025,3
244,168,1991,4/8/2025,4/16/2025,382.42,3/15/2025,2
245,1537,79,3/28/2025,4/2/2025,1533.42,2/26/2025,6
246,10,925,7/7/2025,7/20/2025,3108.45,7/5/2025,6
247,458,232,2/13/2025,2/18/2025,1878.74,1/21/2025,4
248,710,614,2/28/2025,3/11/2025,871.08,2/18/2025,6
249,725,1322,5/15/2025,5/18/2025,834.94,4/22/2025,3
250,1820,1234,5/4/2025,5/18/2025,3787.16,4/22/2025,4
251,279,460,2/18/2025,2/21/2025,916.43,1/25/2025,3
252,106,1088,8/29/2025,9/3/2025,1120.52,8/28/2025,2
253,1148,1726,9/28/2025,10/10/2025,825.42,9/4/2025,4
254,667,1646,1/23/2025,2/3/2025,3637.57,12/29/2024,4
255,114,1054,3/20/2025,3/28/2025,2501.79,2/26/2025,1
256,561,423,8/14/2025,8/28/2025,2128.58,8/14/2025,6
257,632,80,10/27/2024,11/4/2024,2440.03,9/30/2024,4
258,1607,933,1/24/2025,2/3/2025,2834.08,12/30/2024,4
259,1165,1202,10/28/2024,10/31/2024,803.92,10/11/2024,4
260,1177,615,9/22/2024,9/29/2024,858.31,9/10/2024,6
261,454,1867,6/15/2025,6/17/2025,451.6,6/9/2025,1
262,907,1264,10/18/2024,11/1/2024,1163.45,9/20/2024,4
263,1877,1986,6/20/2025,6/30/2025,2205.48,5/25/2025,6
264,480,241,5/26/2025,5/29/2025,169.66,4/27/2025,5
265,1537,1689,4/21/2025,4/30/2025,574.96,4/10/2025,4
266,1379,988,2/28/2025,3/10/2025,,2/21/2025,3
267,1429,1227,5/1/2025,5/5/2025,1154.67,4/8/2025,5
268,1026,759,12/6/2024,12/9/2024,533.64,11/16/2024,1
269,512,1437,10/2/2024,10/7/2024,796.7,9/10/2024,1
270,1773,1715,10/31/2024,11/4/2024,1352.05,10/18/2024,1
271,881,405,8/24/2025,8/31/2025,288.99,8/8/2025,2
272,302,605,9/19/2025,9/23/2025,738.98,9/9/2025,1
273,1519,91,12/24/2024,12/27/2024,602.9,12/10/2024,4
274,913,1780,8/28/2025,9/4/2025,1686.54,8/18/2025,3
275,54,679,8/6/2025,8/16/2025,1983.86,7/19/2025,4
276,1028,797,12/1/2024,12/9/2024,,11/30/2024,5
277,47,12,6/4/2025,6/6/2025,222.33,6/1/2025,2
278,1738,1932,7/3/2025,7/17/2025,4129.88,6/28/2025,1
279,944,788,9/8/2025,9/18/2025,1302.65,9/5/2025,6
280,1921,320,11/24/2024,12/8/2024,,,1
281,1642,806,5/9/2025,5/14/2025,516.32,4/27/2025,2
282,1623,69,10/1/2025,10/9/2025,245.27,9/6/2025,4
283,1189,683,1/20/2025,1/22/2025,63.82,12/25/2024,5
284,655,439,1/2/2025,1/13/2025,1081.33,12/29/2024,4
285,1161,1451,10/11/2024,10/13/2024,151,,6
286,1116,1506,1/15/2025,1/17/2025,558.34,1/3/2025,2
287,1613,969,6/13/2025,6/25/2025,2509.36,6/1/2025,4
288,1320,842,3/26/2025,4/4/2025,1970.91,3/16/2025,2
289,721,1107,6/6/2025,6/16/2025,856.42,5/31/2025,5
290,1513,601,12/25/2024,1/6/2025,3649.32,11/25/2024,6
291,961,1313,5/27/2025,5/29/2025,244.56,5/17/2025,3
292,1724,1773,6/30/2025,7/12/2025,2874.91,6/11/2025,5
293,324,1711,3/9/2025,3/11/2025,151.14,2/13/2025,1
294,863,365,9/26/2024,9/28/2024,303.66,9/23/2024,1
295,1531,1483,1/17/2025,1/26/2025,2089.28,1/11/2025,1
296,1633,1144,11/20/2024,11/29/2024,3001.29,11/15/2024,5
297,588,867,7/31/2025,8/1/2025,178.93,7/14/2025,4
298,1763,489,7/3/2025,7/15/2025,603.99,6/23/2025,4
299,484,705,9/18/2025,9/28/2025,3869.42,8/19/2025,6
300,1714,1236,5/20/2025,5/30/2025,2066.43,5/1/2025,6
301,1101,813,10/5/2025,10/14/2025,3576.01,9/20/2025,2
302,1100,932,9/11/2024,9/21/2024,832.56,9/9/2024,2
303,887,1292,8/10/2025,8/13/2025,176.2,8/8/2025,3
304,595,250,7/9/2025,7/10/2025,292.68,6/16/2025,3
305,1980,1143,6/6/2025,6/16/2025,2051.55,5/27/2025,5
306,93,1542,9/13/2025,9/21/2025,612.3,8/25/2025,5
307,1688,324,4/12/2025,4/15/2025,199.44,4/6/2025,3
308,1165,1482,8/16/2025,8/22/2025,576.86,8/11/2025,2
309,885,1246,2/1/2025,2/5/2025,1637.66,1/25/2025,4
310,1971,315,1/12/2025,1/16/2025,1236.46,1/2/2025,3
311,1473,859,3/4/2025,3/12/2025,2238.71,2/12/2025,6
312,902,1924,2/19/2025,2/27/2025,3369.25,1/23/2025,5
313,875,1526,2/28/2025,3/12/2025,1138.16,1/31/2025,2
314,272,514,4/5/2025,4/18/2025,3615.74,3/22/2025,4
315,1558,209,6/27/2025,6/28/2025,375.24,6/25/2025,4
316,1,1414,5/20/2025,5/23/2025,149.36,5/1/2025,6
317,291,1375,1/9/2025,1/13/2025,554.51,1/7/2025,5
318,700,1215,3/11/2025,3/14/2025,369.64,3/8/2025,3
319,199,981,11/25/2024,12/9/2024,4905.79,11/12/2024,2
320,385,1128,2/10/2025,2/16/2025,273.6,1/20/2025,6
321,1332,1203,6/29/2025,7/1/2025,421.23,6/7/2025,4
322,1482,1220,10/23/2024,10/29/2024,1510.38,10/14/2024,5
323,36,627,5/16/2025,5/30/2025,4476.66,5/9/2025,4
324,1325,632,11/29/2024,12/11/2024,3816.51,11/2/2024,5
325,610,1588,6/28/2025,7/4/2025,316.37,6/21/2025,6
326,1658,724,2/3/2025,2/17/2025,,1/29/2025,6
327,1677,738,8/20/2025,8/31/2025,3539.71,7/31/2025,1
328,1329,1780,10/29/2024,11/3/2024,1157.87,10/27/2024,3
329,993,1076,12/29/2024,1/7/2025,3166.85,12/21/2024,5
330,1620,625,6/8/2025,6/12/2025,341.7,5/9/2025,5
331,657,625,9/23/2024,9/27/2024,273.71,9/21/2024,5
332,1946,944,2/1/2025,2/5/2025,1594.41,1/23/2025,1
333,928,1839,11/13/2024,11/16/2024,764.79,11/2/2024,5
334,213,736,10/10/2024,10/13/2024,785.95,9/27/2024,6
335,637,1993,9/14/2025,9/25/2025,745.79,9/7/2025,6
336,542,1729,12/29/2024,1/11/2025,3700.2,12/7/2024,4
337,74,1088,8/27/2025,9/6/2025,2633.31,7/28/2025,2
338,237,1900,9/12/2024,9/14/2024,934.09,9/2/2024,2
339,797,752,4/22/2025,5/3/2025,1336.01,3/29/2025,5
340,1881,840,3/10/2025,3/23/2025,1845.87,3/3/2025,1
341,660,368,5/29/2025,6/12/2025,2506.12,5/2/2025,6
342,1404,964,2/20/2025,2/24/2025,673.74,2/17/2025,4
343,1908,1650,6/13/2025,6/22/2025,1200.78,6/9/2025,6
344,1396,365,6/10/2025,6/12/2025,410.5,5/12/2025,1
345,1134,889,10/10/2024,10/13/2024,812.06,9/12/2024,4
346,1419,1664,6/5/2025,6/10/2025,223.97,5/31/2025,4
347,1767,1838,6/21/2025,6/25/2025,998.97,5/29/2025,4
348,1748,1926,3/10/2025,3/16/2025,265.72,3/1/2025,4
349,174,972,12/4/2024,12/7/2024,614.4,11/28/2024,5
350,1569,837,8/14/2025,8/15/2025,260.73,8/1/2025,4
351,1734,616,5/8/2025,5/15/2025,1567.26,4/13/2025,4
352,916,556,11/15/2024,11/29/2024,3366.89,10/24/2024,5
353,1242,1630,12/24/2024,12/27/2024,188.04,12/2/2024,4
354,1733,743,12/6/2024,12/12/2024,858.15,11/30/2024,2
355,334,576,6/11/2025,6/24/2025,4069.76,5/29/2025,5
356,495,1676,2/8/2025,2/18/2025,3113.29,1/26/2025,2
357,1306,307,4/11/2025,4/23/2025,2361.31,,1
358,1320,1337,9/19/2025,10/2/2025,1396.37,8/31/2025,5
359,506,285,11/8/2024,11/10/2024,70.6,10/17/2024,1
360,1906,1913,7/8/2025,7/15/2025,1879.16,6/16/2025,2
361,167,300,3/30/2025,4/1/2025,485.1,3/24/2025,2
362,1639,159,3/10/2025,3/16/2025,745.06,2/16/2025,1
363,1800,358,4/12/2025,4/20/2025,2355.36,3/15/2025,2
364,586,960,5/9/2025,5/18/2025,1717.33,5/7/2025,3
365,260,1255,3/7/2025,3/18/2025,2851.67,3/2/2025,6
366,1368,669,4/26/2025,5/5/2025,,4/1/2025,6
367,1930,408,9/24/2025,9/29/2025,1476.39,8/27/2025,4
368,707,667,9/12/2024,9/24/2024,3293.83,9/2/2024,3
369,41,12,5/15/2025,5/24/2025,898.09,4/16/2025,2
370,835,324,12/4/2024,12/6/2024,107.84,11/21/2024,3
371,844,1360,6/16/2025,6/22/2025,571.35,5/19/2025,4
372,1939,287,12/18/2024,12/30/2024,1876.24,12/5/2024,4
373,370,1008,12/16/2024,12/28/2024,747.5,11/17/2024,3
374,1574,1067,5/5/2025,5/13/2025,777.02,4/30/2025,4
375,633,1116,2/7/2025,2/12/2025,308.11,1/9/2025,3
376,1593,1646,8/25/2025,9/2/2025,2286.62,8/13/2025,4
377,331,1106,11/9/2024,11/18/2024,2252.89,11/7/2024,3
378,1770,1076,12/21/2024,12/22/2024,386.43,12/19/2024,5
379,1866,1782,3/20/2025,3/29/2025,554.84,3/18/2025,6
380,1197,1349,6/18/2025,6/27/2025,2699.68,6/7/2025,6
381,1110,332,11/20/2024,11/22/2024,551.68,11/10/2024,2
382,47,874,9/25/2024,10/4/2024,2492.37,9/16/2024,6
383,1032,842,5/7/2025,5/11/2025,651.28,4/9/2025,2
384,237,1135,6/20/2025,7/1/2025,1718.47,6/16/2025,4
385,1542,1557,3/13/2025,3/21/2025,2000.45,3/1/2025,5
386,1384,1344,6/30/2025,7/3/2025,849.38,6/13/2025,3
387,621,948,6/23/2025,6/25/2025,211.36,6/8/2025,2
388,490,270,3/23/2025,3/30/2025,1678.97,,3
389,1641,72,1/5/2025,1/12/2025,869.58,12/23/2024,4
390,237,1108,9/1/2024,9/15/2024,3785.63,8/2/2024,1
391,1486,1671,8/7/2025,8/21/2025,776.21,7/20/2025,3
392,988,1541,9/21/2025,9/24/2025,197.99,9/17/2025,3
393,726,464,10/29/2024,11/3/2024,266.5,10/1/2024,3
394,1935,475,3/13/2025,3/20/2025,1784.08,2/28/2025,6
395,14,828,3/26/2025,4/7/2025,1817.42,3/15/2025,4
396,86,589,6/24/2025,7/4/2025,3294.16,5/31/2025,2
397,407,1791,1/12/2025,1/21/2025,3387.73,1/4/2025,1
398,99,1766,4/18/2025,4/26/2025,945.93,,6
399,125,462,5/11/2025,5/12/2025,64.92,4/22/2025,1
400,999,1884,9/18/2025,9/21/2025,95.62,8/27/2025,1
401,454,361,11/3/2024,11/9/2024,1191.48,10/17/2024,4
402,202,812,7/28/2025,8/4/2025,2633.6,7/14/2025,2
403,1969,692,7/2/2025,7/5/2025,547.35,7/2/2025,6
404,1906,1849,9/29/2025,9/30/2025,355.76,9/17/2025,6
405,742,1756,11/26/2024,12/5/2024,2329.77,11/12/2024,2
406,1810,902,7/5/2025,7/8/2025,1142.99,6/19/2025,3
407,717,1160,8/17/2025,8/19/2025,476.22,7/30/2025,4
408,623,145,11/16/2024,11/24/2024,3712.96,10/20/2024,4
